n,k,alpha,metric,rule,win_share,mean_regret
5,5,10.0,coord_avg,Manhattan distance,0.0,0.05213923269972505
5,5,10.0,coord_max,Discrete metric,0.9922,0.00021701598097375934
5,5,10.0,coord_max,Quadratic distance,0.0,0.06614368264763727
5,5,10.0,coord_max,Manhattan distance,0.0078,0.034203859972330136
5,5,10.0,mean_linear,Discrete metric,0.9966,3.565999133657175e-05
5,5,10.0,mean_linear,Quadratic distance,0.0004,0.08074792189610137
5,5,10.0,mean_linear,Manhattan distance,0.003,0.054079626920166754
5,5,10.0,mean_skewed,Discrete metric,0.9348,0.0004654890043480052
5,5,10.0,mean_skewed,Quadratic distance,0.0322,0.09197837789322995
5,5,10.0,mean_skewed,Manhattan distance,0.033,0.052151908403455696
5,10,0.1,coord_avg,Discrete metric,0.0524,0.04851228039488119
5,10,0.1,coord_avg,Quadratic distance,0.793,0.0035046994424989372
5,10,0.1,coord_avg,Manhattan distance,0.1546,0.016582140977800596
5,10,0.1,coord_max,Discrete metric,0.0006,0.25458846867037027
5,10,0.1,coord_max,Quadratic distance,0.9974,0.00010999247988784204
5,10,0.1,coord_max,Manhattan distance,0.002,0.07400138762609726
5,10,0.1,mean_linear,Discrete metric,0.0629,0.1061686064056637
5,10,0.1,mean_linear,Quadratic distance,0.7683,0.006909985273710083
5,10,0.1,mean_linear,Manhattan distance,0.1688,0.02842123239618357
5,10,0.1,mean_skewed,Discrete metric,0.0852,0.054029529663857934
5,10,0.1,mean_skewed,Quadratic distance,0.7812,0.009330291568620253
5,10,0.1,mean_skewed,Manhattan distance,0.1336,0.02200233030128907
5,10,0.3,coord_avg,Discrete metric,0.3208,0.016972949179540175
5,10,0.3,coord_avg,Quadratic distance,0.4552,0.01080970156049303
5,10,0.3,coord_avg,Manhattan distance,0.224,0.008141848767451379
5,10,0.3,coord_max,Discrete metric,0.0134,0.1403373756683103
5,10,0.3,coord_max,Quadratic distance,0.9548,0.0020503280492643098
5,10,0.3,coord_max,Manhattan distance,0.0318,0.04471032141414196
5,10,0.3,mean_linear,Discrete metric,0.2726,0.04318688525759799
5,10,0.3,mean_linear,Quadratic distance,0.4778,0.020182845334558046
5,10,0.3,mean_linear,Manhattan distance,0.2496,0.01659998311445001
5,10,0.3,mean_skewed,Discrete metric,0.1766,0.026936067817452544
5,10,0.3,mean_skewed,Quadratic distance,0.6034,0.020745020198405743
5,10,0.3,mean_skewed,Manhattan distance,0.22,0.01851093430913057
5,10,1.0,coord_avg,Discrete metric,0.8552,0.0018103420163053663
5,10,1.0,coord_avg,Quadratic distance,0.0492,0.026891427730591954
5,10,1.0,coord_avg,Manhattan distance,0.0956,0.012736023770561052
5,10,1.0,coord_max,Discrete metric,0.124,0.06068011538747085
5,10,1.0,coord_max,Quadratic distance,0.6458,0.016950686816043285
5,10,1.0,coord_max,Manhattan distance,0.2302,0.023919786449350965
5,10,1.0,mean_linear,Discrete metric,0.7255,0.006865923186063803
5,10,1.0,mean_linear,Quadratic distance,0.1221,0.05065079059026459
5,10,1.0,mean_linear,Manhattan distance,0.1524,0.025030858019164406
5,10,1.0,mean_skewed,Discrete metric,0.3108,0.010490329822021657
5,10,1.0,mean_skewed,Quadratic distance,0.3112,0.03618680601249809
5,10,1.0,mean_skewed,Manhattan distance,0.378,0.02170100799105543
5,10,3.0,coord_avg,Discrete metric,0.9974,2.5315451966687523e-05
5,10,3.0,coord_avg,Quadratic distance,0.0004,0.03792640116625038
5,10,3.0,coord_avg,Manhattan distance,0.0022,0.021282397642597373
5,10,3.0,coord_max,Discrete metric,0.4912,0.024614400002455343
5,10,3.0,coord_max,Quadratic distance,0.1314,0.050274019050076384
5,10,3.0,coord_max,Manhattan distance,0.3774,0.02572637169687009
5,10,3.0,mean_linear,Discrete metric,0.9605,0.0004578917449536307
5,10,3.0,mean_linear,Quadratic distance,0.0095,0.07201239198545363
5,10,3.0,mean_linear,Manhattan distance,0.03,0.041709431098051766
5,10,3.0,mean_skewed,Discrete metric,0.4298,0.0033099203186411565
5,10,3.0,mean_skewed,Quadratic distance,0.037,0.04034496793769157
5,10,3.0,mean_skewed,Manhattan distance,0.5332,0.024006610369857816
