n,k,alpha,rule,draws,avg_coord_width_mean,avg_coord_width_median,max_coord_width_mean,max_coord_width_median,mean_linear_width_mean,mean_linear_width_median,mean_skewed_width_mean,mean_skewed_width_median,tie_rate,payment_probability_mean,payment_probability_median
10,3,10.0,Quadratic distance,5000,0.1333333333333333,0.13333333333333336,0.1333333333333333,0.13333333333333336,0.1,0.10000000000000003,0.1333333333333333,0.13333333333333336,0.0,nan,nan
10,5,0.1,Discrete metric,5000,0.12987012987012989,0.12987012987012986,0.2547324675324675,0.26623376623376616,0.1443709040959041,0.13811188811188807,0.12831168831168835,0.09090909090909091,0.0,0.44962278344956697,0.31307875829670584
10,5,0.1,Manhattan distance,5000,0.0979812166928065,0.10252659134826689,0.14591288761744436,0.15546259856650368,0.09692326959986458,0.09633416744418205,0.09696389138959173,0.07522361029979296,0.0,nan,nan
10,5,0.1,Quadratic distance,5000,0.08582799999999997,0.09199999999999997,0.11686999999999999,0.13,0.08392333333333335,0.08749999999999991,0.08515533333333335,0.0666666666666667,0.0,nan,nan
10,5,0.3,Discrete metric,5000,0.12987012987012989,0.12987012987012986,0.2247636363636364,0.2272727272727273,0.13805879120879122,0.1314102564102565,0.13066103896103898,0.11038961038961037,0.0,0.15483388605410559,0.09928166929848689
10,5,0.3,Manhattan distance,5000,0.1164505935535158,0.12133905957385278,0.16040346960032154,0.16295090362878606,0.1151248718619659,0.11740722268012627,0.11701774331600245,0.13146739268798857,0.0,nan,nan
10,5,0.3,Quadratic distance,5000,0.11396279999999999,0.118,0.14130066666666669,0.1466666666666667,0.110875,0.11250000000000004,0.114354,0.13,0.0,nan,nan
10,5,1.0,Discrete metric,5000,0.12987012987012989,0.12987012987012986,0.19103116883116883,0.18831168831168826,0.13115386280386282,0.1282051282051282,0.13012337662337664,0.11038961038961043,0.0,0.036669992193048485,0.028305157314291132
10,5,1.0,Manhattan distance,5000,0.13507725946465274,0.13662967440785623,0.165670251533348,0.16536739437354409,0.13184937176000572,0.1339398972498993,0.135417711509728,0.14786119239761786,0.0,nan,nan
10,5,1.0,Quadratic distance,5000,0.14158999999999997,0.13999999999999999,0.15473900000000004,0.15500000000000003,0.13539,0.13750000000000007,0.14198033333333332,0.155,0.0,nan,nan
10,5,3.0,Discrete metric,5000,0.12987012987012989,0.12987012987012986,0.16612337662337662,0.16883116883116883,0.12740422077922076,0.12500000000000006,0.12963246753246754,0.12987012987012986,0.0,0.015840098729638277,0.014177708734905809
10,5,3.0,Manhattan distance,5000,0.14634293810173454,0.1493013490963971,0.1641062622240149,0.16196125118124138,0.14140696539160003,0.14369526215714779,0.14620009869527686,0.15154108009625067,0.0,nan,nan
10,5,3.0,Quadratic distance,5000,0.15686399999999998,0.16,0.15920466666666672,0.16000000000000003,0.14762833333333336,0.15000000000000002,0.156797,0.15999999999999998,0.0,nan,nan
10,5,10.0,Discrete metric,5000,0.12987012987012989,0.12987012987012986,0.14998961038961037,0.14935064935064937,0.1255465909090909,0.125,0.129687012987013,0.12987012987012986,0.0,0.011768865763929593,0.011633711823802483
10,5,10.0,Manhattan distance,5000,0.15000650048132722,0.15009590186932226,0.15977740527326814,0.16090726915094422,0.14403301338663024,0.144064070302527,0.14989422315469234,0.15154108009625067,0.0,nan,nan
10,5,10.0,Quadratic distance,5000,0.15997599999999998,0.15999999999999998,0.15999400000000005,0.16000000000000003,0.1499775,0.15000000000000002,0.15997899999999998,0.15999999999999998,0.0,nan,nan
10,10,0.1,Discrete metric,5000,0.12918660287081338,0.12918660287081338,0.36777033492822964,0.35885167464114837,0.20996793021793023,0.20170940170940166,0.12960765550239234,0.09090909090909091,0.0,0.19047613783285702,0.1152510749676087
10,10,0.1,Manhattan distance,5000,0.10300149791837684,0.1068739423293564,0.2025164511176819,0.20581877422785133,0.14560557172429675,0.14835247045872774,0.10281174120528853,0.07711585440991642,0.0,nan,nan
10,10,0.1,Quadratic distance,5000,0.09410287857142857,0.09949999999999999,0.1481067142857143,0.15666666666666668,0.12800698148148149,0.12740740740740752,0.09378454761904763,0.075,0.0,nan,nan
10,10,0.3,Discrete metric,5000,0.12918660287081338,0.12918660287081338,0.2998124401913876,0.2822966507177033,0.2021481961720197,0.19715099715099704,0.1302507177033493,0.09090909090909091,0.0,0.03243538037906456,0.017900513671992864
10,10,0.3,Manhattan distance,5000,0.11928340719647085,0.11931545442545019,0.20709337816051634,0.2081851985846147,0.17573306278511536,0.17713094656890457,0.11959902172761487,0.08254943738950193,0.0,nan,nan
10,10,0.3,Quadratic distance,5000,0.11875556111111109,0.11400000000000002,0.16579640476190477,0.16500000000000004,0.17294097266313935,0.1734567901234569,0.11865595238095236,0.08333333333333338,0.0,nan,nan
10,10,1.0,Discrete metric,5000,0.12918660287081338,0.12918660287081338,0.23429665071770336,0.24401913875598086,0.19583647728088904,0.19206349206349216,0.12888038277511962,0.1291866028708134,0.0,0.00303607153368957,0.002154432121215669
10,10,1.0,Manhattan distance,5000,0.13577239287145196,0.13545538749373978,0.1984584829361127,0.1978004145729717,0.2048632752135999,0.20575754709227434,0.1356448966103293,0.15257978270660588,0.0,nan,nan
10,10,1.0,Quadratic distance,5000,0.14378733174603175,0.14924999999999997,0.1742745158730159,0.1757142857142857,0.2183798377425044,0.21990740740740747,0.1438143015873016,0.17333333333333334,0.0,nan,nan
10,10,3.0,Discrete metric,5000,0.12918660287081338,0.12918660287081338,0.19023923444976076,0.16746411483253587,0.1927361548636549,0.19100529100529096,0.12950047846889953,0.1291866028708134,0.0,0.0006736146934460006,0.0005929831310454202
10,10,3.0,Manhattan distance,5000,0.14754753366600148,0.14886458031276617,0.18829141120052623,0.1852953835089386,0.2256489608328052,0.22677418936711335,0.14760914669927075,0.15703150328030024,0.0,nan,nan
10,10,3.0,Quadratic distance,5000,0.1613533992063492,0.15977777777777777,0.1776180634920635,0.1775,0.24824686067019403,0.25,0.16126321428571433,0.17750000000000002,0.0,nan,nan
10,10,10.0,Discrete metric,5000,0.12918660287081343,0.12918660287081343,0.1643253588516746,0.16746411483253587,0.19107516280016276,0.19047619047619047,0.1291023923444976,0.1291866028708134,0.0,0.000339583820829629,0.00032746834821926384
10,10,10.0,Manhattan distance,5000,0.15699446391349997,0.15493768106452696,0.17587637852948967,0.18727324107575605,0.2419074593998278,0.24482627600946172,0.156860867902075,0.15905950541093716,0.0,nan,nan
10,10,10.0,Quadratic distance,5000,0.1754957722222222,0.18,0.17949242857142855,0.18,0.27072833333333335,0.27777777777777785,0.17536928571428576,0.18000000000000005,0.0,nan,nan
