n,k,alpha,metric,rule,win_share
10,5,0.3,coord_max,Discrete metric,0.014
10,5,0.3,coord_max,Quadratic distance,0.9644
10,5,0.3,coord_max,Manhattan distance,0.0216
10,5,0.3,mean_linear,Discrete metric,0.1538
10,5,0.3,mean_linear,Quadratic distance,0.6334
10,5,0.3,mean_linear,Manhattan distance,0.2128
10,5,0.3,mean_skewed,Discrete metric,0.271
10,5,0.3,mean_skewed,Quadratic distance,0.6452
10,5,0.3,mean_skewed,Manhattan distance,0.0838
10,5,1.0,coord_avg,Discrete metric,0.7306
10,5,1.0,coord_avg,Quadratic distance,0.169
10,5,1.0,coord_avg,Manhattan distance,0.1004
10,5,1.0,coord_max,Discrete metric,0.099
10,5,1.0,coord_max,Quadratic distance,0.896
10,5,1.0,coord_max,Manhattan distance,0.005
10,5,1.0,mean_linear,Discrete metric,0.554
10,5,1.0,mean_linear,Quadratic distance,0.2672
10,5,1.0,mean_linear,Manhattan distance,0.1788
10,5,1.0,mean_skewed,Discrete metric,0.56
10,5,1.0,mean_skewed,Quadratic distance,0.324
10,5,1.0,mean_skewed,Manhattan distance,0.116
10,5,3.0,coord_avg,Discrete metric,0.9882
10,5,3.0,coord_avg,Quadratic distance,0.004
10,5,3.0,coord_avg,Manhattan distance,0.0078
10,5,3.0,coord_max,Discrete metric,0.3978
10,5,3.0,coord_max,Quadratic distance,0.5962
10,5,3.0,coord_max,Manhattan distance,0.006
10,5,3.0,mean_linear,Discrete metric,0.9152
10,5,3.0,mean_linear,Quadratic distance,0.0482
10,5,3.0,mean_linear,Manhattan distance,0.0366
10,5,3.0,mean_skewed,Discrete metric,0.8164
10,5,3.0,mean_skewed,Quadratic distance,0.1344
10,5,3.0,mean_skewed,Manhattan distance,0.0492
10,5,10.0,coord_avg,Discrete metric,1.0
10,5,10.0,coord_avg,Quadratic distance,0.0
10,5,10.0,coord_avg,Manhattan distance,0.0
10,5,10.0,coord_max,Discrete metric,0.8726
10,5,10.0,coord_max,Quadratic distance,0.1272
10,5,10.0,coord_max,Manhattan distance,0.0002
10,5,10.0,mean_linear,Discrete metric,0.9992
10,5,10.0,mean_linear,Quadratic distance,0.0006
10,5,10.0,mean_linear,Manhattan distance,0.0002
10,5,10.0,mean_skewed,Discrete metric,0.9718
10,5,10.0,mean_skewed,Quadratic distance,0.0272
10,5,10.0,mean_skewed,Manhattan distance,0.001
10,10,0.1,coord_avg,Discrete metric,0.0038
10,10,0.1,coord_avg,Quadratic distance,0.8112
10,10,0.1,coord_avg,Manhattan distance,0.185
10,10,0.1,coord_max,Discrete metric,0.0002
10,10,0.1,coord_max,Quadratic distance,0.9998
10,10,0.1,coord_max,Manhattan distance,0.0
10,10,0.1,mean_linear,Discrete metric,0.0132
10,10,0.1,mean_linear,Quadratic distance,0.8488
10,10,0.1,mean_linear,Manhattan distance,0.138
10,10,0.1,mean_skewed,Discrete metric,0.0866
10,10,0.1,mean_skewed,Quadratic distance,0.7582
10,10,0.1,mean_skewed,Manhattan distance,0.1552
10,10,0.3,coord_avg,Discrete metric,0.1024
10,10,0.3,coord_avg,Quadratic distance,0.5954
10,10,0.3,coord_avg,Manhattan distance,0.3022
10,10,0.3,coord_max,Discrete metric,0.0066
10,10,0.3,coord_max,Quadratic distance,0.9934
10,10,0.3,coord_max,Manhattan distance,0.0
10,10,0.3,mean_linear,Discrete metric,0.1491
10,10,0.3,mean_linear,Quadratic distance,0.5773
10,10,0.3,mean_linear,Manhattan distance,0.2736
10,10,0.3,mean_skewed,Discrete metric,0.2232
10,10,0.3,mean_skewed,Quadratic distance,0.3942
10,10,0.3,mean_skewed,Manhattan distance,0.3826
10,10,1.0,coord_avg,Discrete metric,0.734
10,10,1.0,coord_avg,Quadratic distance,0.1088
10,10,1.0,coord_avg,Manhattan distance,0.1572
10,10,1.0,coord_max,Discrete metric,0.0942
10,10,1.0,coord_max,Quadratic distance,0.9058
10,10,1.0,coord_max,Manhattan distance,0.0
10,10,1.0,mean_linear,Discrete metric,0.7032
10,10,1.0,mean_linear,Quadratic distance,0.114
10,10,1.0,mean_linear,Manhattan distance,0.1828
10,10,1.0,mean_skewed,Discrete metric,0.472
10,10,1.0,mean_skewed,Quadratic distance,0.131
10,10,1.0,mean_skewed,Manhattan distance,0.397
10,10,3.0,coord_avg,Discrete metric,0.9964
10,10,3.0,coord_avg,Quadratic distance,0.0004
10,10,3.0,coord_avg,Manhattan distance,0.0032
10,10,3.0,coord_max,Discrete metric,0.4952
10,10,3.0,coord_max,Quadratic distance,0.491
10,10,3.0,coord_max,Manhattan distance,0.0138
10,10,3.0,mean_linear,Discrete metric,0.984
10,10,3.0,mean_linear,Quadratic distance,0.0024
10,10,3.0,mean_linear,Manhattan distance,0.0136
10,10,3.0,mean_skewed,Discrete metric,0.6776
10,10,3.0,mean_skewed,Quadratic distance,0.0528
10,10,3.0,mean_skewed,Manhattan distance,0.2696
10,10,10.0,coord_avg,Discrete metric,1.0
10,10,10.0,coord_avg,Quadratic distance,0.0
10,10,10.0,coord_avg,Manhattan distance,0.0
10,10,10.0,coord_max,Discrete metric,0.656
10,10,10.0,coord_max,Quadratic distance,0.0338
10,10,10.0,coord_max,Manhattan distance,0.3102
10,10,10.0,mean_linear,Discrete metric,1.0
10,10,10.0,mean_linear,Quadratic distance,0.0
10,10,10.0,mean_linear,Manhattan distance,0.0
10,10,10.0,mean_skewed,Discrete metric,0.8686
10,10,10.0,mean_skewed,Quadratic distance,0.0034
10,10,10.0,mean_skewed,Manhattan distance,0.128
20,2,0.1,coord_avg,Discrete metric,0.272
20,2,0.1,coord_avg,Quadratic distance,0.7058
20,2,0.1,coord_avg,Manhattan distance,0.0222
20,2,0.1,coord_max,Discrete metric,0.272
20,2,0.1,coord_max,Quadratic distance,0.7058
20,2,0.1,coord_max,Manhattan distance,0.0222
20,2,0.1,mean_linear,Discrete metric,0.272
20,2,0.1,mean_linear,Quadratic distance,0.7058
20,2,0.1,mean_linear,Manhattan distance,0.0222
20,2,0.1,mean_skewed,Discrete metric,0.272
20,2,0.1,mean_skewed,Quadratic distance,0.7058
20,2,0.1,mean_skewed,Manhattan distance,0.0222
20,2,0.3,coord_avg,Discrete metric,0.5852
20,2,0.3,coord_avg,Quadratic distance,0.3796
20,2,0.3,coord_avg,Manhattan distance,0.0352
20,2,0.3,coord_max,Discrete metric,0.5852
20,2,0.3,coord_max,Quadratic distance,0.3796
20,2,0.3,coord_max,Manhattan distance,0.0352
20,2,0.3,mean_linear,Discrete metric,0.5852
20,2,0.3,mean_linear,Quadratic distance,0.3796
20,2,0.3,mean_linear,Manhattan distance,0.0352
20,2,0.3,mean_skewed,Discrete metric,0.5852
20,2,0.3,mean_skewed,Quadratic distance,0.3796
20,2,0.3,mean_skewed,Manhattan distance,0.0352
20,2,1.0,coord_avg,Discrete metric,0.9354
20,2,1.0,coord_avg,Quadratic distance,0.0476
20,2,1.0,coord_avg,Manhattan distance,0.017
20,2,1.0,coord_max,Discrete metric,0.9354
20,2,1.0,coord_max,Quadratic distance,0.0476
20,2,1.0,coord_max,Manhattan distance,0.017
20,2,1.0,mean_linear,Discrete metric,0.9354
20,2,1.0,mean_linear,Quadratic distance,0.0476
20,2,1.0,mean_linear,Manhattan distance,0.017
20,2,1.0,mean_skewed,Discrete metric,0.9354
20,2,1.0,mean_skewed,Quadratic distance,0.0476
20,2,1.0,mean_skewed,Manhattan distance,0.017
20,2,3.0,coord_avg,Discrete metric,0.9996
20,2,3.0,coord_avg,Quadratic distance,0.0002
20,2,3.0,coord_avg,Manhattan distance,0.0002
20,2,3.0,coord_max,Discrete metric,0.9996
20,2,3.0,coord_max,Quadratic distance,0.0002
20,2,3.0,coord_max,Manhattan distance,0.0002
20,2,3.0,mean_linear,Discrete metric,0.9996
20,2,3.0,mean_linear,Quadratic distance,0.0002
20,2,3.0,mean_linear,Manhattan distance,0.0002
20,2,3.0,mean_skewed,Discrete metric,0.9996
20,2,3.0,mean_skewed,Quadratic distance,0.0002
